model	vocab_size1	vocab_size2	model_list
CohereLabs/aya-expanse-8b	255000	255029	['c4ai-command-r-plus-08-2024', 'aya-expanse-32b', 'aya-expanse-8b']
CohereLabs/c4ai-command-a-03-2025	255000	255033	['c4ai-command-a-03-2025']
CohereLabs/c4ai-command-r-08-2024	255000	255034	['c4ai-command-r-08-2024']
CohereLabs/command-a-plus-05-2026-bf16	255000	255032	['command-a-plus-05-2026-bf16']
CohereLabs/tiny-aya-base	261000	261002	['tiny-aya-base']
Qwen/Qwen3-8B	151643	151669	['Qwen3-1.7B', 'Qwen3-14B', 'Qwen3-30B-A3B', 'Qwen3-32B', 'Qwen3-4B', 'Qwen3-8B']
Qwen/Qwen3.6-35B-A3B	248044	248077	['Qwen3.6-27B', 'Qwen3.6-35B-A3B']
allenai/Olmo-3-1125-32B	100278	100278	['Olmo-3-1125-32B']
allenai/Olmo-3.1-32B-Instruct	100278	100278	['Olmo-3-7B-Instruct', 'Olmo-3.1-32B-Instruct']
deepseek-ai/DeepSeek-R1-0528-Qwen3-8B	151643	151671	['DeepSeek-R1-0528-Qwen3-8B']
deepseek-ai/DeepSeek-R1-Distill-Llama-8B	128000	128256	['DeepSeek-R1-Distill-Llama-70B', 'DeepSeek-R1-Distill-Llama-8B']
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B	151643	151665	['DeepSeek-R1-Distill-Qwen-1.5B', 'DeepSeek-R1-Distill-Qwen-14B', 'DeepSeek-R1-Distill-Qwen-32B', 'DeepSeek-R1-Distill-Qwen-7B']
deepseek-ai/DeepSeek-V4-Flash	128000	129280	['DeepSeek-V4-Flash']
deepseek-ai/DeepSeek-V4.1-Flash	128000	129280	['DeepSeek-V4.1-Flash']
facebook/nllb-200-3.3B	256204	256204	['nllb-200-3.3B']
facebook/nllb-moe-54b	256204	256204	['nllb-moe-54b']
google/gemma-3-4b-it	262144	262145	['gemma-3-12b-it', 'gemma-3-1b-it', 'gemma-3-27b-it', 'gemma-3-4b-it']
google/gemma-4-E4B-it	262144	262144	['gemma-4-26B-A4B-it', 'gemma-4-31B-it', 'gemma-4-E2B-it', 'gemma-4-E4B-it']
ibm-granite/granite-4.1-3b	100352	100352	['granite-4.1-30b', 'granite-4.1-3b']
ibm-granite/granite-4.1-8b	100352	100352	['granite-4.1-8b']
meta-llama/Llama-2-7b-hf	32000	32000	['OpenELM-1_1B-Instruct', 'OpenELM-3B-Instruct']
meta-llama/Llama-3.2-3B-Instruct	128000	128256	['Llama-3.2-1B-Instruct', 'Llama-3.2-3B-Instruct']
meta-llama/Llama-3.3-70B-Instruct	128000	128256	['Llama-3.3-70B-Instruct']
meta-llama/Llama-4-Scout-17B-16E-Instruct	200000	201135	['Llama-4-Maverick-17B-128E-Instruct', 'Llama-4-Scout-17B-16E-Instruct']
meta-models/Muse-Glimmer-30B	200000	202048	['Muse-Glimmer-30B']
microsoft/phi-4	100352	100352	['phi-4']
mistralai/Ministral-3-8B-Instruct-2512	131072	131072	['Ministral-3-14B-Instruct-2512', 'Ministral-3-3B-Instruct-2512', 'Ministral-3-8B-Instruct-2512']
moonshotai/Kimi-K3	163840	163840	['Moonlight-16B-A3B-Instruct', 'Kimi-Linear-48B-A3B-Instruct', 'Kimi-K3']
nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-NVFP4	131072	131072	['NVIDIA-Nemotron-3-Nano-30B-A3B-NVFP4']
nvidia/NVIDIA-Nemotron-3.5-Lightning-30B-A3B-NVFP4	131072	131072	['NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4', 'NVIDIA-Nemotron-3-Ultra-550B-A55B-NVFP4', 'NVIDIA-Nemotron-3.5-Lightning-30B-A3B-NVFP4']
openai/gpt-oss-20b	199998	200019	['gpt-oss-120b', 'gpt-oss-20b']
tiiuae/Falcon3-7B-Instruct	131072	131072	['Falcon3-10B-Instruct', 'Falcon3-3B-Instruct', 'Falcon3-7B-Instruct']
zai-org/GLM-5.3	154820	154856	['GLM-5.2', 'GLM-5.3']
